,Passengers,TravelingTime,HighRiskAreas,FontainArea,ExpansionPhase,Population,Favelas,WaterSupply,HighIncomeHolder,LiterateHouseHolder,WomanHouseHolder,PopulationDensity,ImprovisedHousing,PermanentHousing,SewageCollection,GarbageCollection,YoungManRate,Verticalization,Bars,Schools,BusStops,Clusters
C16,1.3333963999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,13.0
C17,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,14.0
C18,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9508408000000004,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,14.0
C19,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,6.0
C20,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.07236000000000001,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,2.0
C21,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,3.0
C22,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,12.0
C23,1.3333963999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,2.0
C24,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,18.0
C25,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,18.0
C26,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,3.0
C27,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.14472000000000002,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,2.0
