,Passengers,TravelingTime,HighRiskAreas,FontainArea,ExpansionPhase,Population,Favelas,WaterSupply,HighIncomeHolder,LiterateHouseHolder,WomanHouseHolder,PopulationDensity,ImprovisedHousing,PermanentHousing,SewageCollection,GarbageCollection,YoungManRate,Verticalization,Bars,Schools,BusStops,Clusters
C120,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C121,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C122,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C123,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C124,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C125,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
C126,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
C127,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,5.0
C128,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0,0.0,0.0,0.396,20.0
C129,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C130,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,21.0
C131,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
C132,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C133,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,20.0
C134,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C135,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
C136,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.3379493333333333,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
feature_direction,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0, -1
